case_id,existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,proxy_id,proxy_label,proxy_group,baseline_normalized_response_integral,retrofit_normalized_response_integral,relative_photocurrent_proxy_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,is_nominal_optical_case,maximum_tmm_physical_violation
16,1.25,80.0,1.08,0.0,110.0,1.25,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9545756137077,1.320680372022908,True,True,False,0.0
16,1.25,80.0,1.08,0.0,110.0,1.25,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.2725555758127,1.320322690638998,True,True,False,0.0
16,1.25,80.0,1.08,0.0,110.0,1.25,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.8910304272456,1.3160620129577967,True,True,False,0.0
17,1.25,80.0,1.08,0.0,110.0,1.25,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.8625166468103,1.3044291257454168,True,True,False,0.0
17,1.25,80.0,1.08,0.0,110.0,1.25,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.1791364855428,1.303724921240725,True,True,False,0.0
17,1.25,80.0,1.08,0.0,110.0,1.25,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.790076463921,1.298082720858622,True,True,False,0.0
18,1.25,80.0,1.08,0.0,110.0,1.25,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.4975391790539,1.0634685138752569,True,True,False,0.0
18,1.25,80.0,1.08,0.0,110.0,1.25,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.8248770375966,1.063113650487549,True,True,False,0.0
18,1.25,80.0,1.08,0.0,110.0,1.25,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.4403940619175,1.0577124238678466,True,True,False,0.0
19,1.25,80.0,1.08,0.0,116.736,1.15,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.7952949334606,1.1160315857680332,True,True,False,0.0
19,1.25,80.0,1.08,0.0,116.736,1.15,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.1260374757226,1.1166208243366709,True,True,False,0.0
19,1.25,80.0,1.08,0.0,116.736,1.15,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.755970389821,1.1139146648904907,True,True,False,0.0
20,1.25,80.0,1.08,0.0,116.736,1.15,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.9353804226376,1.1407609941162313,True,True,False,0.0
20,1.25,80.0,1.08,0.0,116.736,1.15,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.2651928575283,1.1413445604709804,True,True,False,0.0
20,1.25,80.0,1.08,0.0,116.736,1.15,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.8929712311103,1.1383136885866039,True,True,False,0.0
21,1.25,80.0,1.08,0.0,116.736,1.15,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.6394166182555,1.0885142566572121,True,True,False,0.0
21,1.25,80.0,1.08,0.0,116.736,1.15,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.9706655295761,1.0890158912801615,True,True,False,0.0
21,1.25,80.0,1.08,0.0,116.736,1.15,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.6007991487896,1.0862796025708221,True,True,False,0.0
22,1.25,80.0,1.08,0.0,116.736,1.2,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.5103687030152,1.2422641552531482,True,True,False,0.0
22,1.25,80.0,1.08,0.0,116.736,1.2,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.8340920599171,1.2424208795063256,True,True,False,0.0
