interface_mode,carrier_refractive_index,carrier_thickness_um,interface_refractive_index,interface_thickness_um,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,absolute_gain_vs_baseline_percentage_points,relative_gain_vs_baseline_percent,gain_retention_vs_active_only_percent,maximum_energy_residual
air_gap_10um,1.4,200.0,1.0,10.0,796.9894720208555,95.32437400588613,-30.455753521209772,-3.6426775273775687,-3.6806972330111627,-513.0372018640621,1.3322676295501878e-15
air_gap_10um,1.5,25.0,1.0,10.0,781.5306865075717,93.4754172709765,-45.9145390344936,-5.491634262287213,-5.548952077693682,-773.4455368090055,1.3322676295501878e-15
air_gap_10um,1.5,50.0,1.0,10.0,781.5503925692593,93.47777422556678,-45.89483297280594,-5.489277307696916,-5.546570522869343,-773.1135817076171,1.3322676295501878e-15
air_gap_10um,1.5,100.0,1.0,10.0,781.4446340336651,93.46512491644135,-46.000591508400134,-5.501926616822335,-5.55935185658541,-774.8951190823761,1.3322676295501878e-15
air_gap_10um,1.5,200.0,1.0,10.0,781.6862879058391,93.49402806372218,-45.758937636226165,-5.473023469541514,-5.530147038584839,-770.824379991537,1.3322676295501878e-15
air_gap_10um,1.6,25.0,1.0,10.0,764.3841273521228,91.4245934204385,-63.06109818994241,-7.542458112825207,-7.6211809849565135,-1062.2849748016283,1.3322676295501878e-15
air_gap_10um,1.6,50.0,1.0,10.0,764.365525086793,91.42236848603233,-63.079700455272246,-7.5446830472313815,-7.623429141662917,-1062.5983360897183,1.2212453270876722e-15
air_gap_10um,1.6,100.0,1.0,10.0,764.1791263972549,91.40007416594464,-63.26609914481037,-7.566977367319055,-7.645956154180997,-1065.738283424962,1.3322676295501878e-15
air_gap_10um,1.6,200.0,1.0,10.0,764.4618209470277,91.43388600654983,-62.98340459503754,-7.53316552671388,-7.611791409368114,-1060.976200598915,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.35,25.0,1.4,25.0,818.6852130475945,97.91930531247384,-8.760012494470743,-1.0477462207898693,-1.0586818588181468,-147.56529649899048,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.35,50.0,1.4,25.0,818.6845007639304,97.91922011938561,-8.760724778134886,-1.0478314138780878,-1.058767941091892,-147.57729515197835,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.35,100.0,1.4,25.0,818.6840250955227,97.9191632267982,-8.761200446542603,-1.0478883064654954,-1.0588254274841067,-147.58530794301765,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.35,200.0,1.4,25.0,818.6869337236667,97.9195111149031,-8.758291818398561,-1.0475404183605954,-1.0584739083678851,-147.53631114366928,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.4,25.0,1.4,25.0,816.5163785489519,97.65990064257116,-10.928846993113325,-1.3071508906925402,-1.3207940121902038,-184.1000281619238,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.4,50.0,1.4,25.0,816.5135561169727,97.65956306400703,-10.931669425092537,-1.3074884692566715,-1.3211351141619219,-184.14757295847787,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.4,100.0,1.4,25.0,816.5085243592334,97.6589612377929,-10.936701182831825,-1.3080902954708005,-1.3217432218147267,-184.23233457533377,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.4,200.0,1.4,25.0,816.517874403282,97.66007955506954,-10.927351138783251,-1.3069719781941647,-1.320613232329024,-184.07483000291708,1.4432899320127035e-15
reversible_coupling_n1p40_25um,1.5,25.0,1.4,25.0,809.5411882465792,96.82562908380179,-17.90403729548609,-2.141422449461904,-2.163773110631828,-301.59940681648675,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.5,50.0,1.4,25.0,809.5452072147154,96.8261097747459,-17.900018327349812,-2.1409417585178083,-2.163287402573794,-301.5317059741621,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.5,100.0,1.4,25.0,809.5139489278661,96.82237110976847,-17.93127661419919,-2.144680423495224,-2.1670650891063254,-302.05826211433777,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.5,200.0,1.4,25.0,809.5679305183344,96.82882760825419,-17.87729502373088,-2.1382239250095085,-2.1605412022311614,-301.14892443839597,1.4432899320127035e-15
reversible_coupling_n1p40_25um,1.6,25.0,1.4,25.0,799.7406419786282,95.65342923586742,-27.70458356343704,-3.3136222973962832,-3.3482075560092297,-466.6928375387717,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.6,50.0,1.4,25.0,799.7345238162561,95.65269746961621,-27.710701725809145,-3.314354063647484,-3.3489469599218085,-466.79589999958876,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.6,100.0,1.4,25.0,799.6888960354476,95.6472401332328,-27.756329506617703,-3.3198114000308934,-3.354461256143491,-467.564514999608,1.3322676295501878e-15
reversible_coupling_n1p40_25um,1.6,200.0,1.4,25.0,799.7556807185078,95.65522795280809,-27.689544823557412,-3.311823580455609,-3.346390065326414,-466.4395050109118,1.3322676295501878e-15
