study,trial_number,state,refractive_index,thickness_nm,transmitted_power_w_m2,relative_gain_vs_no_retrofit_percent
practical_polymer,76,COMPLETE,1.3336410942914638,125.94452073302868,807.5388919703873,-2.405758466808139
practical_polymer,77,COMPLETE,1.3113854189807623,21.887046034550497,827.4356616777973,-0.0011558304976233558
practical_polymer,78,COMPLETE,1.3151687164708528,86.46352870690305,814.2792930563787,-1.59115456579757
practical_polymer,79,COMPLETE,1.3094448242990837,55.62599393922264,821.1514992172963,-0.7606215046616405
practical_polymer,80,COMPLETE,1.32475850912757,165.01329944082835,809.1111216518443,-2.215748344938495
practical_polymer,81,COMPLETE,1.33806930196092,21.772179544005745,826.9583856673959,-0.05883650780031946
practical_polymer,82,COMPLETE,1.3091226120682529,106.4681440868917,813.0693231129915,-1.7373841778657972
practical_polymer,83,COMPLETE,1.3280821489532457,22.03688402219127,827.1158429865415,-0.039807173376105176
practical_polymer,84,COMPLETE,1.3180050858487486,56.45421709686271,820.0548243666283,-0.8931589605336687
practical_polymer,85,COMPLETE,1.3324000637729396,84.768597007028,811.5523365213961,-1.9207179557121257
practical_polymer,86,COMPLETE,1.327049809759888,137.56631135400312,808.6056277002359,-2.2768392710813434
practical_polymer,87,COMPLETE,1.308255404282519,50.10865637663038,822.4844285057247,-0.5995317736096295
practical_polymer,88,COMPLETE,1.3142088135523096,76.71411674798006,816.0967814909197,-1.371503961934284
practical_polymer,89,COMPLETE,1.356683133869437,109.65427510807109,803.6247604608641,-2.8787966074245275
practical_polymer,90,COMPLETE,1.3195477832944842,20.724421685207016,827.4301216860806,-0.0018253602194318042
practical_polymer,91,COMPLETE,1.3198106828124945,47.70249896167869,822.0577485884264,-0.6510977146686026
practical_polymer,92,COMPLETE,1.3071875630873755,25.264091198146318,827.1270663866997,-0.038450781458942984
practical_polymer,93,COMPLETE,1.3004131675524866,75.11302258663808,818.4197444225225,-1.0907647830864065
practical_polymer,94,COMPLETE,1.327535872594097,50.202516675357785,820.703280139405,-0.8147905377354214
practical_polymer,95,COMPLETE,1.3058443124304444,20.428603521891596,827.659833753328,0.02593624383078197
practical_polymer,96,COMPLETE,1.3076842036051761,124.0250223311763,812.3244767932138,-1.8274017762258232
practical_polymer,97,COMPLETE,1.3155086272170406,95.90158046957404,812.9461636255749,-1.7522684848404246
practical_polymer,98,COMPLETE,1.3057400894907787,46.019295515491635,823.5590464613006,-0.46965997999671716
practical_polymer,99,COMPLETE,1.3232465632559915,148.76366539457103,809.2478299648327,-2.1992266092672574
