active_refractive_index,active_thickness_nm,primer_refractive_index,primer_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,relative_gain_vs_baseline_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_energy_residual
1.0929340906200649,116.73562789476563,1.25,50.0,831.8541545048091,99.49438396131237,4.4089289627438575,0.5328363529870557,True,True,1.1102230246251565e-15
1.0929340906200649,116.73562789476563,1.25,75.0,830.2178429899475,99.29867200236102,2.772617447882226,0.3350816902793613,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.15,30.0,832.8221627191228,99.61016312816639,5.3769371770575844,0.649823941341267,True,True,1.1102230246251565e-15
1.0929340906200649,135.0,1.15,50.0,832.4401205819065,99.5644687634947,4.9948950398412535,0.6036526510342799,True,True,8.881784197001252e-16
1.0929340906200649,135.0,1.15,75.0,832.0511570188655,99.51794655779484,4.605931476800265,0.5566448792767988,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.2,30.0,833.0876966273252,99.64192246058586,5.642471085259899,0.6819147553318078,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.2,50.0,832.6381993234229,99.58816008276777,5.192973781357637,0.6275912436325537,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.2,75.0,832.0503256549423,99.51784712204527,4.6051001128770395,0.5565444056868182,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.25,30.0,832.9320198834542,99.62330265608688,5.486794341388986,0.6631006104113475,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.25,50.0,831.8006496407758,99.48798448196,4.3554240987105,0.5263700803708464,True,True,9.992007221626409e-16
1.0929340906200649,135.0,1.25,75.0,830.2450634897284,99.30192772554535,2.79983794766315,0.3383713944121142,True,True,1.1102230246251565e-15
1.12,100.0,1.15,30.0,833.0552365456301,99.63804005426007,5.610011003564864,0.677991827179824,True,True,9.992007221626409e-16
1.12,100.0,1.15,50.0,832.5354209325981,99.57586721553345,5.090195390532813,0.6151700720973028,True,True,8.881784197001252e-16
1.12,100.0,1.15,75.0,831.5537071647511,99.45844878824145,4.108481622685872,0.4965261138577936,True,True,9.992007221626409e-16
1.12,100.0,1.2,30.0,832.9047093241002,99.62003616127663,5.4594837820349085,0.6598000222260466,True,True,7.771561172376096e-16
1.12,100.0,1.2,50.0,832.3518998648595,99.55391707501941,4.906674322794288,0.5929908314571385,True,True,1.2212453270876722e-15
1.12,100.0,1.2,75.0,831.4374844942425,99.44454791037485,3.9922589521772807,0.48248014840643055,True,True,8.881784197001252e-16
1.12,100.0,1.25,30.0,832.342271066316,99.55276541715465,4.897045524250757,0.5918271533976968,True,True,8.881784197001252e-16
1.12,100.0,1.25,50.0,831.1808816043513,99.41385677742305,3.7356560622860115,0.45146868299817144,True,True,9.992007221626409e-16
1.12,100.0,1.25,75.0,829.6046238181168,99.2253275784567,2.1593982760515473,0.26097174887158364,True,True,9.992007221626409e-16
1.12,116.73562789476563,1.15,30.0,832.6461376444379,99.58910955011706,5.200912102372627,0.6285506208541444,True,True,1.1102230246251565e-15
1.12,116.73562789476563,1.15,50.0,831.9118098157371,99.50127985719965,4.466584273671856,0.5398042233847884,True,True,9.992007221626409e-16
1.12,116.73562789476563,1.15,75.0,830.9350765353063,99.38445712390595,3.4898509932410207,0.4217621765784913,True,True,9.992007221626409e-16
1.12,116.73562789476563,1.2,30.0,832.8338894915787,99.61156571538079,5.388663949513443,0.6512411677743734,True,True,8.881784197001252e-16
1.12,116.73562789476563,1.2,50.0,832.1983528522044,99.5355519982202,4.753127310139121,0.5744340729049845,True,True,8.881784197001252e-16
1.12,116.73562789476563,1.2,75.0,831.335259816686,99.43232127032738,3.890034274620689,0.4701258952908091,True,True,9.992007221626409e-16
1.12,116.73562789476563,1.25,30.0,832.6166726640361,99.58558537456581,5.1714471219708,0.6249896624375285,True,True,1.1102230246251565e-15
