carrier_refractive_index,trial_number,retrofit_refractive_index,retrofit_thickness_nm,optimization_relative_gain_percent,trial_state
1.24,11,1.1011870588009887,177.02901282749917,0.07884782453961847,COMPLETE
1.24,12,1.2618106934309925,160.4622885231971,-0.980087443262645,COMPLETE
1.24,13,1.134976920690973,241.81741553532365,-0.15934445573071443,COMPLETE
1.24,14,1.238876744969529,168.83828302219408,-0.6992658941701757,COMPLETE
1.24,15,1.1747846654399612,71.37166986673282,-0.2448465883563511,COMPLETE
1.24,16,1.2792314759571048,193.96230096401456,-1.119971157187638,COMPLETE
1.24,17,1.1265587278997118,190.5456925474358,0.004530352676557214,COMPLETE
1.24,18,1.174808385973086,167.51687156801367,-0.11691791105830074,COMPLETE
1.24,19,1.2192781497487195,140.06921662020568,-0.45904764518702734,COMPLETE
1.24,20,1.1277125512119905,222.24245515653027,-0.10409587559729871,COMPLETE
1.24,21,1.24685291823931,206.53879062373767,-0.7742390146856959,COMPLETE
1.24,22,1.1046310657734988,172.1267698309822,0.10114489714918573,COMPLETE
1.24,23,1.0646999600510711,57.33778034884563,-0.3904723919935904,COMPLETE
1.24,24,1.0484284206994858,107.39563010793846,-0.13723613795474376,COMPLETE
1.24,25,1.086142661450578,106.74397089360795,0.09831475759662922,COMPLETE
1.24,26,1.0304702959221905,109.59425719258692,-0.3094001287099135,COMPLETE
1.24,27,1.16141407812921,90.15158162042204,-0.04183171490782511,COMPLETE
1.24,28,1.143517852789241,128.32131714852892,0.15530093074132,COMPLETE
1.24,29,1.0772398012904978,130.92070003502917,0.12310831800479427,COMPLETE
1.24,30,1.092604772142992,87.85245487428674,-0.007684478707892239,COMPLETE
1.24,31,1.1475431546700334,121.59175891310682,0.13754799732317302,COMPLETE
1.24,32,1.1990994303329479,145.43785385081793,-0.2546474507110874,COMPLETE
1.24,33,1.143496458935437,121.0192863338683,0.15263565789878086,COMPLETE
1.24,34,1.1089626428569122,148.2849115164956,0.1866087829264007,COMPLETE
1.24,35,1.106040469964529,139.75719824846166,0.20237152062481112,COMPLETE
1.24,36,1.0619325943819204,143.46993584579616,0.028439170530702995,COMPLETE
1.24,37,1.1110500992198262,151.75735058186743,0.17704891884100515,COMPLETE
1.24,38,1.0506864016698874,93.38052708439363,-0.18626550446396717,COMPLETE
1.24,39,1.0864262556639854,158.396008531049,0.12114824581554995,COMPLETE
1.24,40,1.1161782495213215,134.19457993074013,0.21025566969294918,COMPLETE
1.24,41,1.1123954216431913,134.21544382482503,0.21094325268800063,COMPLETE
1.24,42,1.115046608996234,134.52249488847661,0.2104147309528459,COMPLETE
1.24,43,1.1173439573574415,136.2826058712574,0.20768294412003563,COMPLETE
1.24,44,1.1192624513649054,129.46203522635244,0.21024576428436692,COMPLETE
1.24,45,1.0929307104869983,127.86503376411348,0.1824071703951491,COMPLETE
1.24,46,1.1544190855018146,110.89793033756314,0.08815006776279333,COMPLETE
1.24,47,1.1358284435999133,99.59641527395544,0.10168146905646935,COMPLETE
1.24,48,1.1215443918107069,154.91397614504098,0.1586985676174546,COMPLETE
1.24,49,1.0778920940777554,116.60104774863723,0.10084732338051516,COMPLETE
1.24,50,1.184752945525453,78.20282837545454,-0.24461630831200676,COMPLETE
1.24,51,1.1158242750700245,134.77226549454642,0.20994260215498883,COMPLETE
1.24,52,1.132885392040588,134.80855849018567,0.1843438652494811,COMPLETE
1.24,53,1.2956658204941693,123.97825444836415,-1.5974010351918921,COMPLETE
1.24,54,1.0989975107452368,115.68078415421039,0.17409042915041972,COMPLETE
1.24,55,1.117774363149124,181.9321372537264,0.05431462637397466,COMPLETE
1.24,56,1.1276260350440854,133.03405523447347,0.19782318582288738,COMPLETE
1.24,57,1.1592443012510434,165.05187139134728,-0.013106315798228074,COMPLETE
1.24,58,1.0962560680454179,149.63645759929375,0.1697161528327884,COMPLETE
