wavelength_nm,solar_irradiance_w_m2_nm,existing_ar_reflectance_tmm,existing_ar_transmittance_tmm,existing_ar_reflectance_meep,existing_ar_transmittance_meep,stacked_retrofit_reflectance_tmm,stacked_retrofit_transmittance_tmm,stacked_minus_existing_transmittance
425.0,1.2488,0.005676364849142273,0.9943236351508578,0.005674791607339496,0.9943216908043124,0.013740135207945193,0.9862598647920549,-0.008063770358802902
426.0,1.2135,0.005563601681911204,0.9944363983180888,0.005560925907656466,0.9944366160617476,0.014019867840688288,0.9859801321593117,-0.008456266158777148
427.0,1.1724,0.005452685971464397,0.9945473140285356,0.005451565183442628,0.9945466549779775,0.014298419185524358,0.9857015808144757,-0.008845733214059903
428.0,1.1839,0.005343605040934432,0.9946563949590655,0.005342370286546674,0.9946565140288868,0.014575691862579662,0.9854243081374203,-0.009232086821645225
429.0,1.0963,0.005236346135138829,0.9947636538648612,0.005235165085602936,0.9947642275423701,0.014851591631750162,0.9851484083682498,-0.009615245496611413
430.0,0.87462,0.005130896426252723,0.9948691035737472,0.005130612812595485,0.9948690803392853,0.01512602734694881,0.9848739726530512,-0.009995130920696038
431.0,0.79394,0.0050272430193216274,0.9949727569806783,0.005026060539588035,0.9949739331362006,0.015398910909629786,0.9846010890903703,-0.010371667890308078
432.0,1.3207,0.004925372957617521,0.9950746270423825,0.00492543947837583,0.9950749702879362,0.015670157221678204,0.9843298427783218,-0.01074478426406067
433.0,1.2288,0.004825273227842115,0.9951747267721579,0.004825446319047587,0.9951753979963446,0.015939684137749474,0.9840603158622505,-0.01111441090990739
434.0,1.1352,0.004726930765180159,0.9952730692348198,0.004726660201792493,0.9952745273174631,0.01620741241713781,0.9837925875828621,-0.011480481651957697
435.0,1.2452,0.004630332458206419,0.9953696675417936,0.00463122088301295,0.9953700565647329,0.0164732656752506,0.9835267343247494,-0.011842933217044216
436.0,1.3659,0.004535465153649593,0.9954645348463504,0.004535781564233408,0.9954655858120026,0.0167371703347605,0.9832628296652395,-0.012201705181110967
437.0,1.3943,0.0044423156610160055,0.995557684338984,0.0044432405876335965,0.9955578702406619,0.016999055576503913,0.9830009444234961,-0.012556739915487891
438.0,1.2238,0.004350870757076618,0.9956491292429234,0.004352355806565058,0.995648300487258,0.017258853290191164,0.9827411467098088,-0.012907982533114537
439.0,1.1775,0.004261117190220249,0.9957388828097797,0.004261471025496521,0.9957387307338541,0.017516498024989162,0.9824835019750109,-0.013255380834768848
440.0,1.3499,0.004173041684675938,0.9958269583153241,0.004174941625178238,0.9958252114665377,0.01777192694003649,0.9822280730599635,-0.013598885255360571
441.0,1.3313,0.004086630944607651,0.9959133690553923,0.004088521109378711,0.9959115934613735,0.018025079754943527,0.9819749202450565,-0.01393844881033579
442.0,1.425,0.004001871658084041,0.9959981283419159,0.004003336138195488,0.9959969431314175,0.018275898700331594,0.9817241012996684,-0.014274027042247561
443.0,1.4453,0.0039187505009262305,0.9960812494990737,0.003921293747884166,0.9960796671057955,0.018524328468459306,0.9814756715315407,-0.014605577967533034
