existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,0.0,125.0,1.15,75.0,836.08151675,823.7195532370972,830.7217483157075,7.002195078610271,98.52144040201297,99.35894188223095,0.8375014802179899,0.8500702758715232,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.2,30.0,836.08151675,823.7195532370972,832.0008936563995,8.281340419302296,98.52144040201297,99.51193478006037,0.9904943780474138,1.0053592131882558,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.2,50.0,836.08151675,823.7195532370972,832.0486554123071,8.329102175209869,98.52144040201297,99.51764735173559,0.9962069497226292,1.0111575162296096,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.2,75.0,836.08151675,823.7195532370972,831.0921766239626,7.372623386865371,98.52144040201297,99.40324716835843,0.8818067663454744,0.895040473167359,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.25,30.0,836.08151675,823.7195532370972,832.5411860122267,8.821632775129501,98.52144040201297,99.57655675112456,1.0551163491116013,1.0709509978805014,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.25,50.0,836.08151675,823.7195532370972,831.8808098478718,8.161256610774558,98.52144040201297,99.49757208860959,0.9761316865966416,0.9907809737794877,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,125.0,1.25,75.0,836.08151675,823.7195532370972,829.5401855769534,5.820632339856161,98.52144040201297,99.21762040638406,0.6961800043711062,0.706627919293882,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.15,30.0,836.08151675,823.7195532370972,830.7299029415789,7.010349704481655,98.52144040201297,99.35991722084424,0.8384768188312728,0.8510602518699486,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.15,50.0,836.08151675,823.7195532370972,830.8382912119132,7.118737974815986,98.52144040201297,99.37288106087213,0.8514406588591752,0.8642186466061644,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.15,75.0,836.08151675,823.7195532370972,830.5059438984862,6.786390661388964,98.52144040201297,99.33313047354676,0.8116900715338011,0.8238715027122329,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.2,30.0,836.08151675,823.7195532370972,831.7947728303947,8.075219593297447,98.52144040201297,99.4872815827494,0.9658411807364533,0.9803360332485755,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.2,50.0,836.08151675,823.7195532370972,831.8851399301517,8.165586693054479,98.52144040201297,99.4980899905358,0.9766495885228501,0.9913066481140237,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.2,75.0,836.08151675,823.7195532370972,830.986150257171,7.266597020073732,98.52144040201297,99.39056582513203,0.8691254231190648,0.8821688148007498,0.0,0.0,True,True,0.0
